Worker ID, File, Total Time (ms), lateFile?, totalSpans, parser nodes, typer nodes, LoC, LoC/s
2, app/controllers/addItems/previousReferences/ReferenceTypeController.scala, 383, false, 103, 425, 843, 87, 227
0, app/controllers/goodsSummary/SealsInformationController.scala, 379, false, 98, 430, 796, 81, 214
6, target/scala-2.12/routes/main/testOnlyDoNotUseInAppConf/Routes.scala, 378, false, 53, 216, 310, 34, 90
6, app/controllers/transportDetails/TransportDetailsCheckYourAnswersController.scala, 371, false, 70, 197, 346, 42, 113
3, app/controllers/traderDetails/ConsignorForAllItemsController.scala, 370, false, 89, 341, 669, 68, 184
5, app/models/messages/customsoffice/CustomsOfficeDestination.scala, 368, false, 49, 153, 341, 15, 41
4, app/controllers/CheckYourAnswersController.scala, 355, false, 62, 147, 224, 33, 93
3, app/controllers/addItems/AddItemsSameConsigneeForAllItemsController.scala, 351, false, 91, 355, 689, 68, 194
4, app/utils/package.scala, 347, false, 77, 478, 1073, 82, 236
0, app/utils/package.scala, 346, false, 77, 478, 1073, 82, 237
5, app/utils/GuaranteeDetailsCheckYourAnswersHelper.scala, 340, false, 54, 698, 1611, 131, 385
4, app/models/RepresentativeCapacity.scala, 336, false, 47, 138, 309, 23, 68
2, target/scala-2.12/routes/main/controllers/ReverseRoutes.scala, 335, false, 125, 1204, 1477, 145, 433
3, app/controllers/goodsSummary/TotalPackagesController.scala, 334, false, 87, 320, 564, 65, 195
3, app/utils/package.scala, 327, false, 77, 478, 1073, 82, 251
5, app/repositories/SessionCollection.scala, 325, false, 43, 83, 93, 13, 40
3, app/controllers/guaranteeDetails/GuaranteeTypeController.scala, 322, false, 87, 336, 665, 67, 208
3, app/controllers/guaranteeDetails/OtherReferenceController.scala, 319, false, 87, 320, 564, 65, 204
0, app/forms/mappings/Constraints.scala, 317, false, 122, 620, 869, 128, 404
6, app/controllers/movementDetails/MovementDetailsCheckYourAnswersController.scala, 312, false, 69, 204, 353, 49, 157
4, app/controllers/LanguageSwitchController.scala, 310, false, 51, 106, 133, 21, 68
7, app/utils/BigDecimalXMLReader.scala, 308, false, 49, 73, 282, 13, 42
2, app/controllers/addItems/DeclareNumberOfPackagesController.scala, 307, false, 91, 360, 688, 69, 225
3, target/scala-2.12/routes/main/prod/Routes.scala, 305, false, 62, 379, 543, 62, 203
6, app/controllers/LocalReferenceNumberController.scala, 305, false, 83, 277, 423, 60, 197
1, app/pages/addItems/traderDetails/TraderDetailsConsignorEoriNumberPage.scala, 301, false, 47, 55, 238, 9, 30
6, app/controllers/goodsSummary/AddSealsLaterController.scala, 298, false, 67, 176, 271, 30, 101
3, app/navigation/RouteDetailsNavigator.scala, 296, false, 65, 379, 694, 72, 243
3, app/controllers/goodsSummary/CustomsApprovedLocationController.scala, 294, false, 87, 320, 564, 65, 221
4, app/models/messages/InterchangeControlReference.scala, 294, false, 78, 195, 651, 28, 95
1, app/repositories/InterchangeControlReferenceIdRepository.scala, 292, false, 51, 170, 327, 34, 116
4, app/json/package.scala, 287, false, 47, 125, 253, 21, 73
3, app/forms/mappings/LocalDateTimeFormatter.scala, 286, false, 107, 763, 1145, 111, 388
7, target/scala-2.12/routes/main/controllers/javascript/JavaScriptReverseRoutes.scala, 285, false, 104, 954, 1033, 209, 733
4, app/pages/IsConsignorEoriKnownPage.scala, 283, false, 37, 86, 147, 17, 60
2, app/controllers/actions/IdentifierAction.scala, 281, false, 65, 250, 410, 42, 149
2, app/controllers/addItems/ItemTotalGrossMassController.scala, 279, false, 87, 344, 624, 66, 237
2, app/controllers/addItems/ItemsCheckYourAnswersController.scala, 275, false, 66, 173, 296, 34, 124
2, app/models/SectionDetails.scala, 260, false, 59, 54, 441, 6, 23
1, app/models/messages/goodsitem/TraderConsigneeGoodsItem.scala, 259, false, 94, 546, 987, 41, 158
0, app/utils/CheckYourAnswersHelper.scala, 256, false, 42, 226, 482, 40, 156
2, app/navigation/TransportDetailsNavigator.scala, 253, false, 76, 672, 1146, 109, 431
2, app/models/EoriNumber.scala, 250, false, 45, 59, 254, 7, 28
1, app/pages/PackageTypePage.scala, 223, false, 62, 158, 425, 22, 99
2, app/models/messages/trader/TraderConsignor.scala, 221, false, 94, 546, 987, 41, 186
2, app/controllers/routeDetails/OfficeOfDepartureController.scala, 220, false, 95, 368, 706, 78, 355
0, app/models/ConsigneeAddress.scala, 213, false, 72, 60, 619, 7, 33
1, app/models/messages/Representative.scala, 213, false, 67, 303, 571, 26, 122
0, app/forms/InlandModeFormProvider.scala, 212, false, 40, 92, 107, 14, 66
5, app/models/LocalReferenceNumber.scala, 210, false, 65, 177, 409, 30, 143
5, app/models/PackageTypeList.scala, 207, false, 42, 91, 94, 14, 68
5, app/utils/NonEmptyListXMLReader.scala, 204, false, 51, 86, 360, 15, 74
0, app/models/messages/ControlResult.scala, 203, false, 65, 244, 510, 23, 113
2, app/handlers/ErrorHandler.scala, 203, false, 74, 356, 693, 72, 355
